os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 25.10,AMD Ryzen 7 255 w/ Radeon 780M Graphics,AMD Radeon 780M Graphics (RADV PHOENIX),32127196,6.17.0-23-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
39.6337,25.2311,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,231470317
38.0886,26.2545,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,257725097
39.6701,25.2079,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,282932366
38.1357,26.2222,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,309155336
37.4299,26.7166,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,335872025
39.2601,25.4711,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,361343061
39.5174,25.3053,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,386648244
39.2311,25.49,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,412138736
38.1257,26.2291,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,438369852
39.8917,25.0678,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,463436056
37.9624,26.3419,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,489778030
38.7297,25.82,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,515598663
39.191,25.5161,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,541114222
39.1525,25.5412,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,566655660
37.6292,26.5751,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,593233818
39.5955,25.2554,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,618486433
39.3107,25.4384,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,643924747
37.2751,26.8276,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,670752815
40.1907,24.8814,7.85276,62,69,50,800,2710,0.480309,24,14.4961,0,0,695636676
39.2774,25.4599,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,721093745
37.9637,26.341,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,747434687
39.3787,25.3944,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,772829740
39.7345,25.167,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,797996704
37.4529,26.7002,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,824698254
38.3839,26.0526,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,850749421
39.6602,25.2142,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,875964034
39.6365,25.2293,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,901193625
38.1224,26.2313,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,927424660
39.4546,25.3456,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,952770671
37.2972,26.8117,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,979584653
39.4786,25.3302,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,1004912809
39.5832,25.2633,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,1030176485
38.0047,26.3125,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,1056488753
39.2733,25.4626,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,1081951583
39.4375,25.3566,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,1107308203
37.9158,26.3742,8.56793,63,69,50,800,2800,0.480309,17,14.4996,0,0,1133683410
