Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
10:38:42,7473,75.0,97
10:38:44,7480,76.0,94
10:38:47,7483,76.0,96
10:38:49,7479,75.0,97
10:38:51,7479,75.0,100
10:38:54,7479,76.0,100
10:38:56,7479,75.0,97
10:38:58,7478,76.0,95
10:39:01,7479,75.0,97
10:39:03,7478,76.0,99
10:39:05,7477,76.0,92
10:39:08,7472,76.0,96
10:39:10,7472,75.0,100
10:39:12,7473,75.0,99
10:39:15,7473,75.0,93
10:39:17,7473,75.0,95
10:39:20,7474,76.0,94
10:39:22,7475,74.0,91
10:39:24,7476,77.0,100
10:39:27,7477,75.0,93
10:39:29,7477,76.0,100
10:39:31,7479,77.0,92
10:39:34,7490,75.0,93
10:39:36,7623,79.0,95
10:39:38,7627,78.0,95
10:39:41,7645,80.0,100
10:39:43,7644,79.0,100
10:39:45,7647,78.0,95
10:39:48,7649,80.0,92
10:39:50,7644,82.0,97
10:39:52,7655,78.0,91
10:39:55,7784,83.0,100
10:39:57,7727,78.0,94
10:40:00,7704,79.0,99
10:40:02,7687,77.0,96
10:40:04,7674,78.0,100
10:40:07,7665,83.0,91
10:40:09,7658,82.0,95
10:40:11,7658,81.0,91
10:40:14,7655,81.0,98
10:40:16,7648,78.0,98
10:40:18,7651,82.0,99
10:40:21,7653,82.0,97
10:40:23,7653,78.0,99
10:40:25,7652,83.0,98
10:40:28,7652,81.0,95
10:40:30,7654,81.0,91
10:40:33,7656,81.0,91
10:40:35,7647,83.0,93
10:40:37,7626,80.0,92
10:40:40,7623,81.0,91
10:40:42,7623,82.0,93
10:40:44,7623,84.0,94
10:40:47,7623,83.0,98
10:40:49,7624,83.0,99
10:40:52,7625,82.0,97
10:40:54,7623,81.0,94
10:40:56,7622,81.0,93
10:40:59,7624,80.0,99
10:41:01,7622,80.0,91
10:41:03,7621,81.0,97
10:41:06,7619,82.0,92
10:41:08,7617,82.0,100
10:41:10,7615,78.0,91
10:41:13,7617,82.0,98
10:41:15,7627,80.0,97
10:41:18,7615,78.0,91
10:41:20,7644,81.0,91
10:41:22,7638,79.0,98
10:41:25,7633,81.0,92
10:41:27,7619,83.0,92
10:41:30,7617,83.0,98
10:41:32,7614,83.0,91
10:41:34,7610,84.0,100
10:41:37,7610,79.0,95
10:41:39,7604,79.0,97
10:41:41,7606,83.0,95
10:41:44,7607,78.0,95
10:41:46,7608,80.0,97
10:41:48,7611,82.0,91
10:41:51,7608,81.0,100
10:41:53,7611,82.0,91
10:41:56,7611,81.0,93
10:41:58,7605,83.0,98
10:42:00,7602,84.0,94
10:42:03,7609,82.0,95
10:42:05,7608,82.0,94
10:42:08,7607,81.0,95
10:42:10,7610,80.0,96
10:42:12,7609,81.0,98
10:42:15,7611,83.0,96
10:42:17,7611,83.0,91
10:42:19,7609,80.0,97
10:42:22,7610,79.0,97
10:42:24,7611,79.0,98
10:42:27,7620,80.0,97
10:42:29,7609,83.0,93
10:42:31,7595,80.0,96
10:42:34,7598,83.0,91
10:42:36,7598,83.0,96
10:42:38,7600,80.0,100
10:42:41,7601,83.0,94
10:42:43,7601,83.0,91
10:42:46,7601,84.0,100
10:42:48,7600,82.0,96
10:42:50,7599,84.0,91
10:42:53,7599,81.0,98
10:42:55,7595,78.0,95
10:42:58,7593,80.0,91
10:43:00,7598,83.0,91
10:43:02,7602,81.0,98
10:43:05,7604,83.0,94
10:43:07,7595,81.0,93
10:43:10,7600,83.0,92
10:43:12,7588,83.0,92
10:43:14,7591,82.0,95
10:43:17,7565,83.0,92
10:43:19,7571,83.0,94
10:43:21,7536,83.0,97
10:43:24,7542,83.0,91
10:43:26,7543,83.0,98
10:43:28,7544,83.0,91
10:43:31,7544,83.0,97
10:43:33,7546,81.0,99
10:43:36,7546,81.0,92
10:43:38,7548,80.0,93
10:43:40,7549,80.0,100
10:43:43,7557,79.0,92
10:43:45,7513,84.0,91
10:43:47,7513,83.0,97
10:43:50,7519,84.0,91
10:43:52,7520,82.0,99
10:43:55,7518,83.0,98
10:43:57,7475,85.0,95
10:43:59,7482,82.0,95
10:44:02,7482,84.0,98
10:44:04,7485,82.0,91
10:44:06,7485,82.0,98
10:44:09,7489,81.0,95
10:44:11,7488,83.0,99
10:44:14,7493,83.0,100
10:44:16,7479,84.0,97
10:44:18,7477,84.0,98
10:44:21,7474,83.0,99
10:44:23,7481,82.0,93
10:44:25,7489,83.0,97
10:44:28,7468,83.0,95
10:44:30,7478,82.0,97
10:44:33,7503,82.0,96
10:44:35,7542,83.0,93
10:44:37,7547,82.0,97
10:44:40,7551,82.0,97
10:44:42,7551,83.0,91
10:44:45,7552,83.0,95
10:44:47,7552,80.0,92
10:44:49,7554,82.0,98
10:44:52,7558,81.0,93
10:44:54,7558,84.0,95
10:44:56,7541,81.0,93
10:44:59,7519,85.0,93
10:45:01,7480,83.0,95
10:45:03,7484,82.0,100
10:45:06,7562,82.0,95
10:45:08,7544,83.0,100
10:45:10,7536,82.0,100
10:45:13,7534,84.0,92
