Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
22:23:06,6010,75.0,95
22:23:08,6011,74.0,95
22:23:11,6011,74.0,91
22:23:13,6016,72.0,100
22:23:15,6086,77.0,95
22:23:18,6165,78.0,93
22:23:20,6288,74.0,91
22:23:22,6320,74.0,100
22:23:25,6337,75.0,95
22:23:27,6394,75.0,100
22:23:29,6402,75.0,100
22:23:32,6347,77.0,92
22:23:34,6338,76.0,96
22:23:36,6338,76.0,95
22:23:39,6337,75.0,99
22:23:41,6343,75.0,99
22:23:43,6343,77.0,95
22:23:46,6351,75.0,99
22:23:48,6349,76.0,99
22:23:50,6348,76.0,95
22:23:53,6348,76.0,96
22:23:55,6343,77.0,99
22:23:57,6344,76.0,94
22:24:00,6343,77.0,100
22:24:02,6348,77.0,94
22:24:04,6347,77.0,98
22:24:07,6353,78.0,92
22:24:09,6348,79.0,92
22:24:11,6348,81.0,98
22:24:14,6350,81.0,98
22:24:16,6344,79.0,95
22:24:18,6344,79.0,100
22:24:21,6349,81.0,97
22:24:23,6348,79.0,92
22:24:26,6349,78.0,91
22:24:28,6349,80.0,98
22:24:30,6348,80.0,99
22:24:33,6351,80.0,92
22:24:35,6380,79.0,100
22:24:37,6381,81.0,92
22:24:40,6393,78.0,95
22:24:42,6394,79.0,92
22:24:44,6389,78.0,99
22:24:47,6394,78.0,95
22:24:49,6392,80.0,98
22:24:51,6395,81.0,93
22:24:54,6391,79.0,95
22:24:56,6391,79.0,95
22:24:58,6393,82.0,93
22:25:01,6390,78.0,95
22:25:03,6391,79.0,97
22:25:05,6391,78.0,99
22:25:08,6476,83.0,92
22:25:10,6484,84.0,95
22:25:12,6487,82.0,100
22:25:15,6492,81.0,94
22:25:17,6490,83.0,100
22:25:19,6486,81.0,92
22:25:22,6500,84.0,98
22:25:24,6495,83.0,92
22:25:26,6491,83.0,96
22:25:29,6492,83.0,97
22:25:31,6497,84.0,93
22:25:34,6496,84.0,97
22:25:36,6460,84.0,97
22:25:39,6453,84.0,93
22:25:41,6458,83.0,98
